run_id,molecule_hash,final_score,qed_score,toxicity_label,score_method
cycle2_10k,08c9cf97cf8a766c55e8c7322541fc7c345677031e91cd77d8bb64c15e7d8434,-36.11823,0.2043556231197477,0.0,xgboost
cycle2_10k,58635b330492f9ac8401f1a04b3c3a34050ff6e632774bed315a9b7567caaa6c,-34.090626,0.2455913844535988,0.0,xgboost
cycle2_10k,b8fad737ca3e7b0af7a7502f7170d2b1bab48bd0e57af663545755e9bde09b93,-34.855637,0.1395796338078566,0.0,xgboost
cycle2_10k,70379e943deaf31d30ccb6be40ad2e5669fb716c1d66fafb67ac3603843da5a5,-33.442505,0.3313637924453923,0.0,xgboost
cycle2_10k,a80c48e6f0ceec60198f9d654263a814b9953169bff2860526033ebc1321482e,-36.215942,0.2315199888806118,0.0,xgboost
cycle2_10k,61b21bd4c0a6b2b8f919a45922ceda0d86f89649bbf4219f16486da7780f77ed,-36.71928,0.2383119572731156,0.0,xgboost
cycle2_10k,3f0a0b9516db1840e71c600b03072572d5a239ee353a840caca7d94a1bcb5eb8,-41.055157,0.1859127881913363,0.0,xgboost
cycle2_10k,b8f3a019bfb6fc498cbe03fbe9361cbdd3a14bedd54b97bb56bd1c8cae0cf8dd,-41.228508,0.2443643629299588,0.0,xgboost
cycle2_10k,093602f957e573fe779e1379ea37225454eabf2a437c845ce4e80f36767e4971,-32.4246,0.1340163753872984,0.0,xgboost
cycle2_10k,011d981d9ffb8dab4dbcc6401e6fafd458d7c1ff40933b55e3cd0d6badaf7b05,-33.64594,0.3136962825624904,0.0,xgboost
cycle2_10k,52aade60fb73277129b2f5a5b47a5f2dd8f5e4625f0c09bea989522889adc24a,-44.01209,0.3051737582889681,0.0,xgboost
cycle2_10k,28db3fc3c39d4d37b06685f853c9acbf3b447d7e436ae8df9b4b605d79d12abf,-40.465088,0.1147595733332634,0.0,xgboost
cycle2_10k,0ef656763a9ee9eb86c89aa6a52c8328c0a82da3cd58ea8110cfad01f2564d6a,-34.650818,0.4638672547001815,0.0,xgboost
cycle2_10k,cb38a2ef6d55799333057d3c796e54f9bfa18707e656c5273ed704a1b8d9a5e2,-39.07056,0.128708010748192,0.0,xgboost
